,SMILES,tasks,BRICS
2252,Oc1ccc2c3c1O[C@H]1c4[nH]c5ccccc5c4C[C@@]4(O)[C@@H](C2)N(CC2CC2)CC[C@]314,Lipo,"{'[5*]N1CC[C@]23c4c5ccc(O)c4O[C@H]2c2[nH]c4ccccc4c2C[C@@]3(O)[C@H]1C5', '[4*]C[8*]', '[15*]C1CC1'}"
2253,Cc1cc(N)c2cc(NC(=O)CCC(=O)Nc3ccc4nc(C)cc(N)c4c3)ccc2n1,Lipo,"{'[5*]N[5*]', '[1*]C(=O)CCC([1*])=O', '[16*]c1ccc2nc(C)cc(N)c2c1'}"
2254,CCCN(CCC)C(=O)c1cc(C(=O)NC(Cc2cc(F)cc(F)c2)C(O)C[NH2+]Cc2cccc(OC)c2)cc(/C(C)=N\OCc2ccccc2)c1,BACE,"{'[5*]N[5*]', '[3*]O/N=C(/C)c1cc([16*])cc([16*])c1', '[16*]c1cccc([16*])c1', '[4*]CCC', '[3*]OC', '[5*][NH2+][5*]', '[4*]C[8*]', '[16*]c1cc(F)cc(F)c1', '[1*]C([6*])=O', '[5*]N([5*])[5*]', '[4*]CC(O)C([4*])C[8*]', '[16*]c1ccccc1'}"
2255,O=C(NC[C@@H](O)CN1CCC(Oc2ccc(Cl)c(Cl)c2)CC1)c1c[nH]c(=O)c2cc(S(=O)(=O)NC3CC3)ccc12,Lipo,"{'[5*]N[5*]', '[12*]S(=O)(=O)c1ccc2c([16*])c[nH]c(=O)c2c1', '[15*]C1CC1', '[3*]O[3*]', '[4*]CC(O)C[4*]', '[5*]N1CCC([15*])CC1', '[1*]C([6*])=O', '[16*]c1ccc(Cl)c(Cl)c1'}"
2256,Cn1cnc(-c2ccccc2)c1/C=C/c1ccnc(N)n1,Lipo,"{'[7*]C[8*]', '[14*]c1ccnc(N)n1', '[14*]c1ncn(C)c1[14*]', '[16*]c1ccccc1'}"
2257,COc1ccc2ccc(=O)n(CCN3CCC(NCc4cc5c(cn4)OCCO5)CC3)c2c1,Lipo,"{'[5*]N[5*]', '[5*]N1CCC([15*])CC1', '[3*]OC', '[4*]C[8*]', '[9*]n1c(=O)ccc2ccc([16*])cc21', '[14*]c1cc2c(cn1)OCCO2', '[4*]CC[8*]'}"
2258,C[C@@]1(C(=O)Nc2ccc(F)nc2)CCCN1c1nc(Nc2cc(C3CC3)[nH]n2)c2cccn2n1,Lipo,"{'[5*]N[5*]', '[16*]c1ccc(F)nc1', '[5*]N1CCC[C@]1([13*])C', '[14*]c1cc([14*])[nH]n1', '[14*]c1nc([14*])c2cccn2n1', '[1*]C([6*])=O', '[15*]C1CC1'}"
2259,CCN(CC)CCNC(=O)c1cc(S(C)(=O)=O)ccc1OC,BBBP:Lipo,"{'[5*]N[5*]', '[5*]N([5*])[5*]', '[3*]OC', '[4*]CC[4*]', '[4*]CC', '[1*]C([6*])=O', '[16*]c1ccc(S(C)(=O)=O)cc1[16*]'}"
2260,CC(C)c1ccc2oc3nc(N)c(C(=O)[O-])cc3c(=O)c2c1,ClinTox,"{'[8*]C(C)C', '[6*]C(=O)[O-]', '[16*]c1ccc2oc3nc(N)c([16*])cc3c(=O)c2c1'}"
2261,Cn1ncc2c(=O)[nH]c(-c3ccccc3)nc21,Lipo,"{'[14*]c1nc2c(cnn2C)c(=O)[nH]1', '[16*]c1ccccc1'}"
2262,CN1C(=O)[C@](c2ccccc2)(c2ccc(OC(F)(F)F)cc2)N=C1N,BACE,"{'[13*]C1([13*])N=C(N)N(C)C1=O', '[3*]OC(F)(F)F', '[16*]c1ccc([16*])cc1', '[16*]c1ccccc1'}"
2263,COc1cccc([C@@]2(c3ccccc3)[NH+]=C(N)N3CCCN=C32)c1,BACE,"{'[16*]c1cccc([16*])c1', '[3*]OC', '[13*]C1([13*])[NH+]=C(N)N2CCCN=C21', '[16*]c1ccccc1'}"
2264,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](OCCO)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C\C=C\C=C\1C,ClinTox,"{'[3*]OC', '[15*][C@@H]1CC[C@@H]([15*])[C@H]([15*])C1', '[4*]CCO', '[3*]O[3*]', '[8*]C[C@H]([8*])C', '[13*][C@@H]1CC(=O)[C@H](C)/C=C(\\C)[C@@H](O)[C@@H]([15*])C(=O)[C@H](C)C[C@H](C)/C=C\\C=C\\C=C(/C)[C@@H]([15*])C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O1'}"
2265,C[NH+](C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,ClinTox,"{'[4*]CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21', '[5*][NH+](C)C'}"
2266,O=C([O-])CCC[NH+]1CCC(O[C@@H](c2ccc(Cl)cc2)c2ccccn2)CC1,ClinTox,"{'[14*]c1ccccn1', '[4*]CCCC(=O)[O-]', '[16*]c1ccc(Cl)cc1', '[3*]O[3*]', '[5*][NH+]1CCC([15*])CC1', '[4*]C([8*])[8*]'}"
2267,CCOP(=S)(OCC)SCSc1ccc(Cl)cc1,ESOL:FreeSolv,"{'[4*]CC', '[3*]OP(=S)(O[3*])SCS[11*]', '[16*]c1ccc(Cl)cc1'}"
2268,CCN1CC2(CC[NH+](Cc3cccc(OC(C)C)c3)C(C)C2)N(c2cccc(F)c2)S1(=O)=O,BACE,"{'[16*]c1cccc([16*])c1', '[4*]C[8*]', '[5*]N1CC2(CC[NH+]([5*])C(C)C2)N([5*])S1(=O)=O', '[4*]CC', '[4*]C(C)C', '[16*]c1cccc(F)c1', '[3*]O[3*]'}"
2269,Cc1ccc(O)cc1,ESOL:FreeSolv,{'Cc1ccc(O)cc1'}
2270,CC(=O)NC(Cc1ccc2c(c1)OCO2)C(O)C[NH2+]C1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21,BACE,"{'[5*]N[5*]', '[8*]CC(C)(C)C', '[1*]C(C)=O', '[4*]CC(O)C([4*])C[8*]', '[5*][NH2+]C1CC2(CCC2)Oc2ncc([16*])cc21', '[16*]c1ccc2c(c1)OCO2'}"
2271,NC1=[NH+][C@@](c2cccc(-c3cccnc3F)c2)(c2ccc3c(c2)OCCO3)C2=NCCCN21,BACE,"{'[16*]c1cccc([16*])c1', '[13*]C1([13*])[NH+]=C(N)N2CCCN=C21', '[16*]c1ccc2c(c1)OCCO2', '[16*]c1cccnc1F'}"
2272,CCN(CC)S(=O)(=O)c1ccc(-c2cc(C(F)(F)F)ccc2OCC(=O)O)cc1,Lipo,"{'[5*]N([5*])[5*]', '[12*]S(=O)(=O)c1ccc([16*])cc1', '[4*]CC', '[4*]CC(=O)O', '[8*]C(F)(F)F', '[16*]c1ccc([16*])c([16*])c1', '[3*]O[3*]'}"
2273,CN[C@@H](C)C(=O)N[C@H](C(=O)N[C@H]1CCCN(CCc2ccc(C(F)(F)F)cc2)C1)C(C)(C)C,Lipo,"{'[5*]N[5*]', '[1*]C(=O)[C@@H]([4*])C', '[5*]N1CCC[C@H]([15*])C1', '[16*]c1ccc([16*])cc1', '[4*]CC[8*]', '[5*]NC', '[8*]C(F)(F)F', '[1*]C(=O)[C@@H]([4*])C(C)(C)C'}"
2274,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OC[C@@H]1CCCN(C)C1,Lipo,"{'[5*]N[5*]', '[16*]c1ccc(Br)cc1F', '[14*]c1ncnc2cc([16*])c([16*])cc12', '[3*]OC', '[4*]C[8*]', '[3*]O[3*]', '[15*][C@@H]1CCCN(C)C1'}"
2275,COc1ncc2nccnc2n1,ESOL,"{'[3*]OC', '[14*]c1ncc2nccnc2n1'}"
2276,CCCCCCC(=O)OCC,ESOL,"{'[4*]CC', '[3*]O[3*]', '[1*]C(=O)CCCCCC'}"
2277,O=C(c1ccc(C(=C2CCN(Cc3cscn3)CC2)c2cccc3cccnc23)cc1)N1CCC(O)CC1,Lipo,"{'[4*]C[8*]', '[14*]c1cscn1', '[16*]c1ccc([16*])cc1', '[16*]c1cccc2cccnc12', '[5*]N1CCC([7*])CC1', '[1*]C([6*])=O', '[5*]N1CCC(O)CC1', '[7*]C([8*])[8*]'}"
2278,CCCc1c(OCCCOc2ccc3c(=O)cc(C(=O)O)oc3c2CCC)ccc(C(C)=O)c1O,Lipo,"{'[6*]C(=O)O', '[4*]CCC[4*]', '[8*]CCC', '[16*]c1ccc([16*])c(O)c1[16*]', '[3*]O[3*]', '[6*]C(C)=O', '[14*]c1cc(=O)c2ccc([16*])c([16*])c2o1'}"
2279,CN(C)[C@@H]1C(=O)/C(=C(\N)O)C(=O)[C@@]2(O)C(=O)C3=C(O)c4c(O)cccc4[C@@](C)(O)[C@H]3[C@H](O)[C@@H]12.O.O,BBBP,"{'[5*]N(C)C', '[15*][C@@H]1C(=O)/C(=C(\\N)O)C(=O)[C@@]2(O)C(=O)C3=C(O)c4c(O)cccc4[C@@](C)(O)[C@H]3[C@H](O)[C@@H]12'}"
2280,CN(C(=O)Cc1ccc(-n2cnnn2)cc1)[C@@H]1CCN(Cc2ccc(C(F)(F)F)cn2)C[C@@H]1F,Lipo,"{'[4*]C[8*]', '[16*]c1ccc([16*])cc1', '[5*]N([5*])C', '[9*]n1cnnn1', '[1*]C(=O)C[8*]', '[5*]N1CC[C@@H]([15*])[C@@H](F)C1', '[8*]C(F)(F)F', '[14*]c1ccc([16*])cn1'}"
2281,CCCC(CCC)S(=O)(=O)C[C@@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)C[NH2+]Cc1cccc(OC)c1,BACE,"{'[5*]N[5*]', '[16*]c1cccc([16*])c1', '[3*]OC', '[5*][NH2+][5*]', '[4*]C[8*]', '[1*]C(=O)[C@H]([4*])CS(=O)(=O)C(CCC)CCC', '[3*]O[3*]', '[4*]C[C@@H](O)[C@@H]([4*])C[8*]', '[1*]C([1*])=O', '[16*]c1ccccc1'}"
2282,CC(=O)O,FreeSolv,{'CC(=O)O'}
2283,NC1(c2ccc(-c3ncc4cccn4c3-c3ccccc3)cc2)CCC1,Lipo,"{'[14*]c1ncc2cccn2c1[14*]', '[15*]C1(N)CCC1', '[16*]c1ccc([16*])cc1', '[16*]c1ccccc1'}"
2284,CCCCCOC(=O)CC,ESOL:FreeSolv,"{'[4*]CCCCC', '[3*]O[3*]', '[1*]C(=O)CC'}"
2285,CCCC(=O)Nc1ccc2c(c1)C(=O)C(=O)c1ccccc1-2,Lipo,"{'[5*]N[5*]', '[1*]C(=O)CCC', '[16*]c1ccc2c(c1)C(=O)C(=O)c1ccccc1-2'}"
2286,CCOC(=O)c1ccc(OCC2CN(c3ccc(C)nn3)C2)cc1,Lipo,"{'[5*]N1CC([15*])C1', '[4*]C[8*]', '[4*]CC', '[16*]c1ccc([16*])cc1', '[1*]C([6*])=O', '[14*]c1ccc(C)nn1', '[3*]O[3*]'}"
2287,COc1cc(CCN)cc(OC)c1OC,BBBP,"{'[3*]OC', '[16*]c1cc([16*])c([16*])c([16*])c1', '[8*]CCN'}"
2288,O=C(OCCN1CCCCC1)C(O)(c1ccccc1)c1ccccc1,BBBP,"{'[4*]CC[4*]', '[16*]c1ccccc1', '[3*]O[3*]', '[5*]N1CCCCC1', '[1*]C(=O)C([8*])([8*])O'}"
2289,O=c1oc2c(O)cccc2cc1-c1ccc(O)cc1,Lipo,"{'[16*]c1cc2cccc(O)c2oc1=O', '[16*]c1ccc(O)cc1'}"
2290,C#Cc1csc(C2([NH2+]CC(O)C(Cc3cc(F)cc(F)c3)NC(C)=O)CCCCC2)c1,BACE,"{'[5*]N[5*]', '[5*][NH2+][5*]', '[1*]C(C)=O', '[16*]c1cc(F)cc(F)c1', '[4*]CC(O)C([4*])C[8*]', '[14*]c1cc(C#C)cs1', '[4*]C1([15*])CCCCC1'}"
2291,CCn1c(=O)c2c(-c3cncn3C)n(Cc3ccnc4ccc(Cl)cc34)nc2n(CC2CC2)c1=O,Lipo,"{'[9*]n1nc2c(c1[14*])c(=O)n([9*])c(=O)n2[9*]', '[8*]CC', '[14*]c1cncn1C', '[8*]C[8*]', '[16*]c1ccnc2ccc(Cl)cc12', '[15*]C1CC1'}"
2292,COc1cc(F)ccc1-c1cncc(CNC(=O)C2CC2)c1,Lipo,"{'[5*]N[5*]', '[3*]OC', '[4*]C[8*]', '[16*]c1cncc([16*])c1', '[1*]C([6*])=O', '[15*]C1CC1', '[16*]c1ccc(F)cc1[16*]'}"
2293,Nc1cccc(Cn2c(-c3ccccc3)ccc2-c2ccc(C(=O)NC3CCC3)cc2)n1,BACE,"{'[5*]N[5*]', '[14*]c1cccc(N)n1', '[16*]c1ccc([16*])cc1', '[8*]C[8*]', '[9*]n1c([14*])ccc1[14*]', '[15*]C1CCC1', '[1*]C([6*])=O', '[16*]c1ccccc1'}"
2294,C[C@@H]1CN(C(=O)OC(C)(C)C)CCN1c1ncc(OCc2ccc(S(C)(=O)=O)cn2)cn1,Lipo,"{'[14*]c1ncc([16*])cn1', '[5*]N1CCN([5*])[C@H](C)C1', '[4*]C[8*]', '[14*]c1ccc(S(C)(=O)=O)cn1', '[1*]C([1*])=O', '[4*]C(C)(C)C', '[3*]O[3*]'}"
2295,NC(=O)Nc1sc(-c2ccc(F)cc2)cc1C(=O)N[C@H]1CCCNC1,Lipo,"{'[5*]N[5*]', '[16*]c1ccc(F)cc1', '[1*]C(N)=O', '[1*]C([6*])=O', '[15*][C@H]1CCCNC1', '[14*]c1cc([16*])c([14*])s1'}"
2296,Cc1nc2c([nH]1)CCN(C(=O)c1ccc(NC(=O)c3ccccc3-c3ccccc3)cc1)c1ccccc1-2,ClinTox,"{'[5*]N[5*]', '[5*]N1CCc2[nH]c(C)nc2-c2ccccc21', '[16*]c1ccccc1[16*]', '[16*]c1ccc([16*])cc1', '[1*]C([6*])=O', '[16*]c1ccccc1'}"
2297,CC(C)CC(=O)O,FreeSolv,{'CC(C)CC(=O)O'}
2298,c1ccc(-c2cc(NCCCCCCCCNc3cc(-c4ccccc4)nc4ccccc34)c3ccccc3n2)cc1,Lipo,"{'[5*]N[5*]', '[14*]c1cc([16*])c2ccccc2n1', '[16*]c1ccccc1', '[4*]CCCCCCCC[4*]'}"
2299,COc1cccc(-c2cccc(C3(C)N=C(N)CCO3)c2)c1,BACE,"{'[16*]c1cccc([16*])c1', '[3*]OC', '[13*]C1(C)N=C(N)CCO1'}"
2300,COC(C)(C)CCCC(C)CC=CC(C)=CC(=O)OC(C)C,ESOL,"{'[3*]OC', '[1*]C(=O)C[7*]', '[3*]O[3*]', '[4*]C(C)C', '[4*]C(C)(C)CCCC(C)CC[7*]', '[7*]CC([7*])C'}"
2301,OB1c2ccccc2N=C(S)N1c1cccnc1,Lipo,{'OB1c2ccccc2N=C(S)N1c1cccnc1'}
2302,O=C(O)C[C@H]1CC[C@H](c2ccc(-c3ccc(Nc4ccc(C(F)(F)F)nc4)cn3)cc2)CC1,Lipo,"{'[5*]N[5*]', '[15*][C@H]1CC[C@H]([15*])CC1', '[8*]CC(=O)O', '[16*]c1ccc([16*])cc1', '[14*]c1ccc([16*])cn1', '[8*]C(F)(F)F'}"
2303,C[C@@]1(c2cccc(-c3cccnc3)c2)N=C(c2ccccc2)C(N)=[NH+]1,BACE,"{'[16*]c1cccc([16*])c1', '[16*]c1cccnc1', '[13*][C@]1(C)N=C(c2ccccc2)C(N)=[NH+]1'}"
2304,NC(=O)c1ccc(N(C(N)=O)c2c(F)cccc2F)nc1-c1ccc(F)cc1F,Lipo,"{'[14*]c1ccc([16*])c([14*])n1', '[6*]C(N)=O', '[1*]C(N)=O', '[16*]c1c(F)cccc1F', '[5*]N([5*])[5*]', '[16*]c1ccc(F)cc1F'}"
2305,Cc1nc(CSc2nc(N[C@H](C)CO)c3sc(N)nc3n2)cs1,Lipo,"{'[5*]N[5*]', '[4*]C[8*]', '[11*]S[11*]', '[14*]c1nc([14*])c2sc(N)nc2n1', '[14*]c1csc(C)n1', '[4*][C@H](C)CO'}"
2306,O=C(C1C[NH2+]CC12CCCc1ccccc12)N1CCC(c2ccccc2)CC1,BACE,"{'[5*]N1CCC([15*])CC1', '[1*]C([6*])=O', '[15*]C1C[NH2+]CC12CCCc1ccccc12', '[16*]c1ccccc1'}"
2307,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1F,BBBP:ClinTox,"{'[8*]CO', '[13*][C@H]1C[C@H](O)[C@@H]([13*])O1', '[9*]n1cc(F)c(=O)[nH]c1=O'}"
2308,CCOc1ccc(C2(C34CC5CC(CC(C5)C3)C4)N=C(N)N(C)C2=O)cc1,BACE,"{'[4*]CC', '[16*]c1ccc([16*])cc1', '[15*]C12CC3CC(CC(C3)C1)C2', '[3*]O[3*]', '[13*]C1([13*])N=C(N)N(C)C1=O'}"
2309,CC(C)C[C@H](NC(=O)[C@H](CCc1ccccc1)NC(=O)CN1CCOCC1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(C)C)C(=O)[C@@]1(C)CO1,ClinTox,"{'[5*]N[5*]', '[1*]C(=O)C[4*]', '[4*][C@@H](CC(C)C)C([6*])=O', '[1*]C(=O)[C@@H]([4*])C[8*]', '[1*]C(=O)[C@@H]([4*])CC[8*]', '[13*][C@@]1(C)CO1', '[1*]C(=O)[C@@H]([4*])CC(C)C', '[5*]N1CCOCC1', '[16*]c1ccccc1'}"
2310,CC(=O)OCC(=O)[C@@]12OC(C)(C)O[C@@H]1CC1C3C[C@H](F)C4=CC(=O)C=CC4(C)[C@H]3C(O)CC12C,BBBP,"{'[15*][C@@]12OC(C)(C)O[C@@H]1CC1C3C[C@H](F)C4=CC(=O)C=CC4(C)[C@H]3C(O)CC12C', '[3*]O[3*]', '[13*][C@@]12OC(C)(C)O[C@@H]1CC1C3C[C@H](F)C4=CC(=O)C=CC4(C)[C@H]3C(O)CC12C', '[1*]C(C)=O', '[4*]CC([6*])=O'}"
2311,O=C(NCCCCCCNCCc1ccc(O)c2nc(O)sc12)Nc1ccccc1,Lipo,"{'[5*]N[5*]', '[4*]CCCCCC[4*]', '[16*]c1ccc(O)c2nc(O)sc12', '[1*]C([1*])=O', '[4*]CC[8*]', '[16*]c1ccccc1'}"
2312,COc1ccc2c(C)cc(N[C@H]3CC[C@H](NCc4cn(C)c5ccccc45)C3)nc2c1,Lipo,"{'[5*]N[5*]', '[3*]OC', '[4*]C[8*]', '[15*][C@H]1CC[C@H]([15*])C1', '[14*]c1cc(C)c2ccc([16*])cc2n1', '[16*]c1cn(C)c2ccccc12'}"
2313,N#Cc1cccc(NCC(=O)Nc2c(Cl)ccc3nc(N4CC[C@@H](O)C4)ccc23)c1,Lipo,"{'[5*]N[5*]', '[1*]C(=O)C[4*]', '[16*]c1cccc(C#N)c1', '[14*]c1ccc2c([16*])c(Cl)ccc2n1', '[5*]N1CC[C@@H](O)C1'}"
2314,CC(C)(C)NC(=O)Nc1ccc(-c2c(N)nc(N)nc2COCc2ccccc2)cc1,Lipo,"{'[5*]N[5*]', '[4*]C[8*]', '[16*]c1ccc([16*])cc1', '[3*]O[3*]', '[1*]C([1*])=O', '[14*]c1nc(N)nc(N)c1[16*]', '[4*]C(C)(C)C', '[16*]c1ccccc1'}"
2315,c1ccc(C2CN=C3NCCN32)cc1,BBBP,"{'[13*]C1CN=C2NCCN21', '[16*]c1ccccc1'}"
2316,C[NH+]1CCCC(n2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)CC1,ClinTox,"{'[15*]C1CCC[NH+](C)CC1', '[9*]n1nc([14*])c2ccccc2c1=O', '[16*]c1ccc(Cl)cc1', '[8*]C[8*]'}"
2317,O=C(OC[C@H]1O[C@@H](OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)[C@H](OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)[C@@H](OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)[C@@H]1OC(=O)c1cc(O)c(O)c(OC(=O)c2cc(O)c(O)c(O)c2)c1)c1cc(O)c(O)c(OC(=O)c2cc(O)c(O)c(O)c2)c1,ClinTox,"{'[16*]c1cc([16*])c(O)c(O)c1', '[4*]C[8*]', '[16*]c1cc(O)c(O)c(O)c1', '[13*][C@@H]1O[C@H]([13*])[C@@H]([15*])[C@H]([15*])[C@H]1[15*]', '[1*]C([6*])=O', '[3*]O[3*]'}"
2318,Cc1nnc(SCC2=C(C(=O)[O-])N3C(=O)[C@@H](NC(=O)Cn4cnnn4)[C@H]3SC2)s1.[Na+],BBBP,"{'[5*]N[5*]', '[14*]c1nnc(C)s1', '[4*]CC1=C(C(=O)[O-])N2C(=O)[C@@H]([15*])[C@H]2SC1', '[11*]S[11*]', '[1*]C(=O)C[8*]', '[9*]n1cnnn1'}"
2319,N[C@@H]1CCCN(c2c(Cl)cccc2/C=C2\SC(=O)NC2=O)C1,Lipo,"{'[5*]N1CCC[C@@H](N)C1', '[7*]C[8*]', '[16*]c1cccc(Cl)c1[16*]', '[7*]C1SC(=O)NC1=O'}"
2320,COc1ccc(C(Cl)=C(c2ccc(OC)cc2)c2ccc(OC)cc2)cc1,ClinTox,"{'[3*]OC', '[7*]C([8*])Cl', '[16*]c1ccc([16*])cc1', '[7*]C([8*])[8*]'}"
2321,Cc1cc(OC(=O)N(C)C)n(-c2ccccc2)n1,ESOL,"{'[9*]n1nc(C)cc1[14*]', '[1*]C([1*])=O', '[5*]N(C)C', '[3*]O[3*]', '[16*]c1ccccc1'}"
2322,C=C1CCC([NH2+]CC(O)C(Cc2cc(F)cc(F)c2)NC(C)=O)(c2cccc(C(C)(C)C)c2)CC1,BACE,"{'[5*]N[5*]', '[16*]c1cccc([16*])c1', '[5*][NH2+][5*]', '[16*]c1cc(F)cc(F)c1', '[4*]C1([15*])CCC(=C)CC1', '[1*]C(C)=O', '[4*]CC(O)C([4*])C[8*]', '[8*]C(C)(C)C'}"
2323,C[NH+](C)CCOC(=O)C(c1ccccc1)C1(O)CCCC1,ClinTox,"{'[1*]C(=O)C([8*])[8*]', '[4*]CC[4*]', '[5*][NH+](C)C', '[15*]C1(O)CCCC1', '[3*]O[3*]', '[16*]c1ccccc1'}"
2324,CCN(CC)C(=O)COc1cc2c(O)c3c(O)c(C)c4c(c13)C(=O)[C@@](C)(O/C=C/[C@H](OC)[C@@H](C)[C@@H](OC(C)=O)[C@H](C)[C@H](O)[C@H](C)[C@@H](O)[C@@H](C)/C=C/C=C(/C)C(=O)N2)O4,BBBP,"{'[15*][C@H]1[C@H](C)[C@H](O)[C@H](C)[C@@H](O)[C@@H](C)/C=C/C=C(/C)C(=O)Nc2cc([16*])c3c4c(c(C)c(O)c3c2O)O[C@](C)(O/C=C/[C@H]([15*])[C@H]1C)C4=O', '[1*]C(=O)C[4*]', '[3*]OC', '[4*]CC', '[1*]C(C)=O', '[5*]N([5*])[5*]', '[3*]O[3*]'}"
2325,COc1c(C#N)cc2ccccc2c1C(=O)N(C)C[C@@H](CCN1CCC(c2ccc(O)cc2[S+](C)[O-])CC1)c1ccc(Cl)c(Cl)c1,Lipo,"{'[3*]OC', '[5*]N([5*])C', '[4*]CC[C@@H]([8*])C[4*]', '[5*]N1CCC([15*])CC1', '[16*]c1c(C#N)cc2ccccc2c1[16*]', '[16*]c1ccc(Cl)c(Cl)c1', '[1*]C([6*])=O', '[16*]c1ccc(O)cc1[S+](C)[O-]'}"
2326,Cc1cccc(C[NH+]2CCN(C(c3ccccc3)c3ccc(Cl)cc3)CC2)c1,ClinTox,"{'[16*]c1cccc(C)c1', '[4*]C[8*]', '[16*]c1ccc(Cl)cc1', '[16*]c1ccccc1', '[5*]N1CC[NH+]([5*])CC1', '[4*]C([8*])[8*]'}"
2327,CN[C@@H](C)C(=O)N[C@H](C(=O)N[C@H]1CCCN(C(=O)Cc2ccccc2)C1)C1CCCCC1,Lipo,"{'[5*]N[5*]', '[1*]C(=O)[C@@H]([4*])C', '[5*]N1CCC[C@H]([15*])C1', '[1*]C(=O)C[8*]', '[5*]NC', '[1*]C(=O)[C@@H]([4*])[8*]', '[15*]C1CCCCC1', '[16*]c1ccccc1'}"
2328,S=C(NC1CCCCC1)N1CCC(c2c[nH]cn2)CC1,BBBP,"{'[5*]NC(=S)N1CCC([15*])CC1', '[15*]C1CCCCC1', '[14*]c1c[nH]cn1'}"
2329,CCOC(=O)Cc1csc(NS(=O)(=O)c2ccc(Cl)cc2)n1,Lipo,"{'[5*]N[5*]', '[4*]CC', '[14*]c1csc([14*])n1', '[3*]O[3*]', '[12*]S(=O)(=O)c1ccc(Cl)cc1', '[1*]C(=O)C[8*]'}"
2330,Cc1ccc(NC(=O)c2ccnc(N3CCOCC3)c2)cc1Nc1ccnc(Cl)n1,Lipo,"{'[5*]N[5*]', '[14*]c1ccnc(Cl)n1', '[16*]c1ccc(C)c([16*])c1', '[5*]N1CCOCC1', '[1*]C([6*])=O', '[14*]c1cc([16*])ccn1'}"
2331,Cc1ccccc1CCOCCCS(=O)(=O)CCNCCc1ccc(O)c2nc(O)sc12,Lipo,"{'[5*]N[5*]', '[16*]c1ccc(O)c2nc(O)sc12', '[4*]CCCS(=O)(=O)CC[4*]', '[3*]O[3*]', '[16*]c1ccccc1C', '[4*]CC[8*]'}"
2332,CC(C)C1=NC(c2ccccc2)(c2cccc(-c3cncnc3)c2)N=C1N,BACE,"{'[16*]c1cccc([16*])c1', '[13*]C1([13*])N=C(N)C(C(C)C)=N1', '[16*]c1cncnc1', '[16*]c1ccccc1'}"
2333,CCCSC(=O)N(CCC)CCC,FreeSolv,"{'[5*]N([5*])[5*]', '[4*]CCC', '[1*]C(=O)S[11*]'}"
2334,CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O,Lipo,"{'[5*]N[5*]', '[4*]C[8*]', '[16*]c1ccnc2cc(Cl)ccc12', '[4*]CC', '[16*]c1ccc(O)c([16*])c1', '[5*]N([5*])[5*]'}"
2335,CC[C@@]1(O)C[C@H](O[C@H]2C[C@H](N(C)C)[C@H](O[C@H]3C[C@@H]4O[C@H]5CC(=O)[C@H](C)O[C@H]5O[C@@H]4[C@H](C)O3)[C@H](C)O2)c2c(O)c3c(c(O)c2[C@H]1O[C@H]1C[C@H](N(C)C)[C@H](O)[C@H](C)O1)C(=O)c1cccc(O)c1C3=O,BBBP,"{'[8*]CC', '[13*][C@H]1C[C@H]([15*])[C@H]([15*])[C@H](C)O1', '[13*][C@H]1C[C@@H]2O[C@H]3CC(=O)[C@H](C)O[C@H]3O[C@@H]2[C@H](C)O1', '[13*][C@H]1C[C@H]([15*])[C@H](O)[C@H](C)O1', '[5*]N(C)C', '[3*]O[3*]', '[3*]O[C@H]1C[C@@]([15*])(O)[C@H](O[3*])c2c(O)c3c(c(O)c21)C(=O)c1c(O)cccc1C3=O'}"
2336,CCCCCCC,BBBP:ESOL:FreeSolv,{'CCCCCCC'}
2337,COc1ccc(C(=O)NCc2cn(-c3cc(C)nc4ccc(OC)cc34)nn2)cc1,Lipo,"{'[5*]N[5*]', '[3*]OC', '[4*]C[8*]', '[16*]c1ccc2nc(C)cc([16*])c2c1', '[16*]c1ccc([16*])cc1', '[1*]C([6*])=O', '[9*]n1cc([14*])nn1'}"
2338,C[NH+]1CCC(OC(c2ccccc2)c2ccccc2)CC1,ClinTox,"{'[4*]C([8*])[8*]', '[3*]O[3*]', '[15*]C1CC[NH+](C)CC1', '[16*]c1ccccc1'}"
